Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C22, C5",0402,5,10uF,
"C10, C6, C7, C9",0402,4,4.7uF,
"C11, C12, C13, C14, C15, C16, C17, C18, C20, C21, C8",0402,11,100nF,
"C3, C4",0402,2,15pF,
"D2, D3",0402,2,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3uH,C42411119
R1,0402,1,1k,
"R2, R3, R6",0402,3,33,
"R4, R5",0402,2,470,
"R7, R8",0402,2,5.1K,
U1,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2354A,
U2,USIP-10_L2.5-W2.0-P0.50-BL,1,TPSM828214SILR,C2876792
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,12MHz,
