Designator,Mid X,Mid Y,Rotation,Layer
C1,160.58,-120.5,180.0,top
C10,159.38,-118.21,0.0,top
C11,164.11,-112.91,0.0,top
C12,157.21,-109.02,180.0,top
C13,153.86,-111.81,180.0,top
C14,158.61,-108.55,90.0,top
C15,154.34,-114.7,90.0,top
C16,164.3,-113.86,0.0,top
C17,164.35,-111.97,0.0,top
C18,153.82,-116.16,180.0,top
C19,154.93,-108.05,180.0,top
C2,163.93,-117.34,180.0,top
C20,163.94,-116.42,0.0,top
C21,153.85,-110.895,180.0,top
C22,160.94,-118.69,90.0,top
C3,153.845,-117.2,0.0,top
C4,158.4,-120.08,180.0,top
C5,164.67,-118.76,270.0,top
C6,163.95,-111.0,0.0,top
C7,161.86,-108.06,180.0,top
C8,153.89,-113.04,180.0,top
C9,160.48,-108.55,90.0,top
D2,153.51,-108.535,90.0,top
D3,164.042501,-114.93,180.0,top
J1,158.9,-102.32,180.0,top
L1,163.625,-109.1,270.0,top
R1,157.96,-118.67,90.0,top
R2,159.54,-108.55,270.0,top
R3,156.85,-108.06,0.0,top
R4,153.38,-114.719999,270.0,top
R5,159.39,-119.14,0.0,top
R6,161.860001,-109.0,180.0,top
R7,153.880001,-109.95,180.0,top
R8,154.910001,-109.0,180.0,top
U1,158.9,-113.61,90.0,top
U2,162.79,-119.38,0.0,top
Y1,155.37,-119.46,0.0,top
